BRAND, MODEL, TYPE, LINK,image_url
Boss,BD-2 Blues Driver,['Overdrive and Boost Pedals'],https://reverb.com/p/boss-bd-2-blues-driver,https://rvb-img.reverb.com/image/upload/s--oPyoXql6--/t_card-square/v1648558199/emvvo6o14chl75gfqlz6.jpg
Boss,GE-7 Equalizer (Black Label),['EQ Pedals'],https://reverb.com/p/boss-ge-7-graphic-eq-2012-grey,https://rvb-img.reverb.com/image/upload/s--pfomhmMq--/t_card-square/v1634833569/mhwsobmprxgqx09yviei.jpg
Boss,SD-1 Super OverDrive (Silver Label),"['Distortion Pedals', 'Overdrive and Boost Pedals']",https://reverb.com/p/boss-sd-1-super-overdrive,https://rvb-img.reverb.com/image/upload/s--IWh92YNR--/t_card-square/v1543863289/x8bgkwkqivyekgm1e1vv.png
Boss,RC-1 Loop Station,['Loop Pedals and Samplers'],https://reverb.com/p/boss-rc-1-loop-station,https://rvb-img.reverb.com/image/upload/s--8dnjIBp7--/t_card-square/v1621865644/fmypp9tya1cuklff89xv.jpg
Boss,CS-3 Compression Sustainer,['Compressor Pedals'],https://reverb.com/p/boss-cs-3,https://rvb-img.reverb.com/image/upload/s--AU5ajxAg--/t_card-square/v1621865049/tvifu1drju7uhws9eqgg.jpg
Boss,NS-2 Noise Suppressor (Silver Label),"['Compressor Pedals', 'Controller, Expression and Volume Pedals']",https://reverb.com/p/boss-ns-2-noise-suppressor,https://rvb-img.reverb.com/image/upload/s--QiEMnamw--/t_card-square/v1487719562/qioz49mqah4jnu9bvz6f.jpg
Boss,CH-1 Super Chorus (Blue or Pink Label),['Chorus and Vibrato'],https://reverb.com/p/boss-ch-1-super-chorus,https://rvb-img.reverb.com/image/upload/s--KekDTqh1--/t_card-square/v1640726863/rjyifugdwft090ctexmf.jpg
Boss,RV-6 Reverb,['Reverb Pedals'],https://reverb.com/p/boss-rv-6-reverb,https://rvb-img.reverb.com/image/upload/s--ZT_oAZWo--/t_card-square/v1440811834/rzrizxr5fcxrysfwutsp.jpg
Boss,CE-2W Chorus Waza Craft,['Chorus and Vibrato'],https://reverb.com/p/boss-ce-2w-waza-craft-chorus,https://rvb-img.reverb.com/image/upload/s--W_Bp0yuz--/t_card-square/v1466739803/xewp0sicsl8pkeck4ndk.jpg
Boss,TR-2 Tremolo (Silver Label),['Tremolo Pedals'],https://reverb.com/p/boss-tr-2-tremolo,https://rvb-img.reverb.com/image/upload/s--LGI5dgKU--/t_card-square/v1487720650/m0t2yzlkefwdeqg18hy5.jpg
Boss,OC-5 Octave,['Octave and Pitch-Shifting Pedals'],https://reverb.com/p/boss-oc-5-octave,https://rvb-img.reverb.com/image/upload/s--FHLIt2xN--/t_card-square/v1622050718/clfqlhltyowxkyad8jxx.png
Boss,DM-2W Delay Waza Craft,['Delay Pedals'],https://reverb.com/p/boss-dm-2w-delay-waza-craft-1,https://rvb-img.reverb.com/image/upload/s--RY24_pf2--/t_card-square/v1543863976/mzi1fe9zgaxfiwep5qul.png
Boss,SY-1 Synthesizer,['Guitar Synths'],https://reverb.com/p/boss-sy-1-synthesizer,https://rvb-img.reverb.com/image/upload/s--nM-efv7t--/t_card-square/v1563468953/qku6klkbemhdlmxz3rjd.png
Boss,DD-3 Digital Delay,['Delay Pedals'],https://reverb.com/p/boss-dd-3-digital-delay,https://rvb-img.reverb.com/image/upload/s--Xocq2Lu6--/t_card-square/v1635171242/lx7m3yxzaaalviauqtuo.jpg
